product_type,premium_mode,payment_method,agent_channel,underwriting_class,e_bill_enrolled,portal_account_created,customer_service_contacts_30d,email_open_rate_30d,age_at_issue,credit_proxy_score,has_prior_aaa_membership,tenure_aaa_membership_months,uw_decision_days,first_premium_paid_days,face_amount,lapse_12m
ul,semiannual,credit_card,captive,standard,0,1,2,1.0,54,0.6801974890573491,1,96,17,10,343398,0
term_20,monthly,credit_card,captive,substandard,1,1,1,0.5515607464442859,67,0.6430174739358665,0,0,20,0,501342,1
ul,monthly,ach,captive,pref_plus,1,1,2,0.5890033075860159,45,0.5910908580449095,0,0,10,0,185357,0
whole_life,semiannual,ach,independent,preferred,1,1,0,0.5806699351420379,46,0.8623480682731577,1,65,19,9,213727,0
term_10,annual,ach,captive,standard,0,1,0,0.46576404781828484,50,0.9626740207519174,1,56,13,1,195167,0
iul,quarterly,ach,captive,preferred,1,1,2,0.6598875505996449,42,0.6012698744996003,0,0,0,8,174221,1
ul,monthly,ach,captive,standard,0,0,1,0.07593919039022046,57,0.5819845657918656,1,40,11,0,420218,0
ul,monthly,check,online,standard,0,0,0,0.5053949631312487,26,0.5712489125511844,0,0,6,1,235918,0
term_10,monthly,ach,captive,standard,0,1,2,0.5356435038472365,22,0.4900432900213182,1,103,8,7,316417,0
term_20,quarterly,ach,captive,pref_plus,1,1,2,0.6537297249479,23,0.6676543806667896,0,0,18,6,354955,0
term_20,semiannual,credit_card,captive,preferred,0,0,1,0.2188636387301833,31,0.828877648248415,0,0,13,0,344482,1
iul,monthly,ach,captive,standard,1,1,0,0.23358236876086513,47,0.1517677666591276,1,114,8,5,350510,0
whole_life,semiannual,ach,independent,preferred,1,1,0,0.24622427307426525,33,0.5694609721950393,0,0,7,0,155520,1
ul,monthly,ach,independent,preferred,0,0,0,0.554464083810183,49,0.8679469956970218,1,94,14,5,333849,0
term_20,semiannual,check,captive,pref_plus,1,1,0,0.557316959471373,20,0.6707699351683309,0,0,10,3,229897,0
term_10,quarterly,ach,independent,preferred,1,1,0,0.26003924447657534,41,0.6744831017625976,0,0,16,2,392280,1
term_20,monthly,credit_card,captive,preferred,0,1,0,0.8328552735660635,27,0.3118360763331284,0,0,7,1,190178,0
term_10,quarterly,credit_card,independent,preferred,1,1,0,0.5072742895218337,34,0.7263828681457047,1,103,9,0,165206,0
ul,monthly,ach,captive,standard,0,0,0,0.4748411669329438,52,0.7816429758825642,1,50,5,0,256530,0
whole_life,quarterly,credit_card,captive,standard,1,1,0,0.4084746056314651,20,0.6359886187466192,0,0,8,6,307881,1
ul,monthly,ach,independent,standard,0,1,0,0.636098734904142,58,0.4820009476310076,0,0,25,5,112945,0
term_20,monthly,ach,online,standard,0,1,0,0.5278988499971689,33,0.6797075090901116,0,0,7,0,223623,1
iul,monthly,ach,independent,preferred,0,1,0,0.8279703270337015,63,0.4131862593189778,0,0,9,7,168309,1
ul,monthly,check,independent,pref_plus,0,1,1,0.20722009629264931,55,0.3893650353507185,0,0,7,4,329926,1
ul,monthly,ach,independent,standard,0,0,0,0.14088724346979703,65,0.7443841182511023,1,4,10,5,210764,0
term_10,monthly,ach,independent,preferred,1,1,1,0.30198831985469143,50,0.7972464468241859,0,0,11,0,346116,1
term_20,quarterly,check,captive,preferred,1,1,0,0.5606700916874039,40,0.4663281338859845,0,0,19,10,198694,0
term_10,quarterly,ach,captive,preferred,0,0,0,0.36438183083998993,27,0.39024057139851553,1,104,9,5,280312,0
term_10,monthly,credit_card,independent,standard,1,1,0,0.7042055383600236,23,0.44198781748522525,1,19,12,9,145525,0
whole_life,annual,credit_card,independent,preferred,0,0,0,0.3712883874826442,59,0.6355769630880764,1,3,0,1,247260,1
whole_life,annual,credit_card,independent,preferred,0,0,1,0.6663816704224261,52,0.3904437494430212,0,0,6,0,168342,0
iul,monthly,credit_card,captive,preferred,1,1,1,0.2838477189172205,27,0.8310901327793073,0,0,18,0,378228,0
term_20,annual,credit_card,captive,standard,0,0,1,0.6866106016944427,24,0.5163179582584855,0,0,6,7,341873,0
term_20,monthly,ach,captive,preferred,1,1,0,0.7238306390171114,59,0.665932492309873,0,0,16,0,273280,0
term_20,monthly,check,independent,standard,0,0,0,0.33704282161770405,22,0.46622406996863947,1,60,6,9,337878,1
term_10,semiannual,check,captive,preferred,0,1,0,0.5479123431495906,45,0.7051242187492575,1,79,10,0,215964,1
term_10,monthly,credit_card,independent,preferred,1,1,0,0.5035429826860747,36,0.7198594516714972,0,0,22,5,304891,1
term_20,semiannual,credit_card,captive,preferred,0,0,1,0.553341399389192,55,0.297994312828198,1,76,16,4,249603,1
term_10,monthly,ach,captive,pref_plus,0,1,0,0.7068873728486774,22,0.47766060607573824,1,96,0,2,297199,1
whole_life,monthly,ach,independent,preferred,1,1,0,0.6446423092251099,24,0.571808133053472,0,0,31,2,265825,0
term_20,semiannual,ach,captive,standard,1,1,0,0.5528225538422334,26,0.5054688360606396,0,0,5,0,251496,1
ul,semiannual,ach,independent,pref_plus,1,1,0,0.582610460157389,57,0.7568844857793571,1,100,23,11,111181,0
whole_life,quarterly,credit_card,captive,substandard,1,1,0,0.19614630757052243,55,0.49250519575061,0,0,9,5,204336,1
term_20,quarterly,credit_card,captive,pref_plus,0,0,1,0.441816019220085,56,0.7286731892090971,0,0,4,0,401170,1
ul,semiannual,ach,independent,preferred,1,1,1,0.2296991950665416,48,0.6872394312602274,0,0,9,0,246786,1
ul,monthly,ach,independent,standard,1,1,0,0.44636810787021286,28,0.5805700753379005,1,102,8,5,198963,1
term_20,semiannual,credit_card,captive,standard,1,1,0,0.6733617745173087,31,0.7361429458593729,1,102,8,3,260009,0
term_20,monthly,ach,captive,pref_plus,0,1,0,0.44858921695663334,26,0.32317297686362473,0,0,12,0,134304,1
whole_life,semiannual,check,independent,pref_plus,1,1,0,0.0,26,0.588895407005277,0,0,14,13,218355,1
term_10,monthly,credit_card,online,standard,1,1,0,0.2406400252447952,57,0.4606377996799969,1,80,20,0,271203,1
term_10,semiannual,ach,independent,preferred,1,1,0,0.5662176279538063,42,0.5807550606266222,1,108,13,1,295782,0
term_10,quarterly,ach,independent,standard,1,1,2,0.3421772541835967,40,0.515506904866067,1,111,12,3,284014,0
ul,monthly,credit_card,captive,standard,0,1,0,0.6067687519715471,27,0.610797179146499,1,4,7,0,377396,1
whole_life,semiannual,ach,independent,pref_plus,1,1,0,0.2085580685618273,52,0.6017075508324539,1,75,10,6,202459,0
whole_life,monthly,credit_card,independent,standard,1,1,0,0.5263437198260374,61,0.6249757791702926,0,0,8,5,136110,0
ul,quarterly,ach,independent,pref_plus,1,1,0,0.5363886643890339,20,0.6321091093007691,0,0,3,4,227554,1
term_20,monthly,ach,independent,standard,1,1,0,0.6079801921247205,66,0.7032049123870195,0,0,27,3,211081,1
term_20,monthly,ach,independent,substandard,0,1,0,0.31895803549993085,29,0.3734284295456202,0,0,13,5,271131,1
term_10,monthly,credit_card,independent,standard,0,0,0,0.6059586376452691,65,0.6916857542894675,0,0,13,2,233137,0
term_10,annual,check,captive,substandard,0,1,1,0.7513118024662175,57,0.3277258231604907,0,0,19,0,267668,1
whole_life,semiannual,credit_card,captive,standard,1,1,0,0.0,64,0.0970145993839513,0,0,0,7,264419,0
term_20,semiannual,ach,online,pref_plus,1,1,0,0.46034056654702504,29,0.9550433360998035,1,118,25,10,326980,0
term_20,quarterly,credit_card,captive,pref_plus,1,1,0,0.08873000229314854,48,0.4310089010723003,0,0,6,3,255047,1
ul,semiannual,ach,captive,pref_plus,0,1,0,0.27796080856759264,24,0.519353025069847,1,58,6,3,272494,1
whole_life,monthly,credit_card,captive,preferred,0,1,0,0.29428511270761065,42,0.2645285559219657,0,0,8,3,398609,0
term_20,monthly,check,independent,standard,1,1,0,0.4367097595944762,28,0.5181981130433417,0,0,17,0,125093,0
term_20,monthly,ach,independent,preferred,0,0,0,0.52550820760626,23,0.637223190587385,0,0,24,1,270683,0
term_20,quarterly,check,independent,standard,0,1,0,0.6309966691645363,61,0.6437001038311496,0,0,21,6,246793,0
